Category,Product Name,Retailer,URL,Price,In Stock,Domain,Region
Baby Gates,Cardinal Gates Stairway Special Safety Gate,amazon,https://www.amazon.com/dp/B002CXDMJ6?tag=pregnancysp0a-20,$65,true,www.amazon.com,US
Baby Gates,Evenflo Position and Lock Tall Gate,amazon,https://www.amazon.com/dp/B07GQBRH9P?tag=pregnancysp0a-20,$45,true,www.amazon.com,US
Baby Gates,Munchkin Easy Close Baby Gate,amazon,https://www.amazon.com/dp/B00SVTPGW2?tag=pregnancysp0a-20,$55,true,www.amazon.com,US
Baby Gates,North States Easy Swing & Lock Baby Gate,amazon,https://www.amazon.com/dp/B075VH4S9M?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Baby Gates,Safety 1st Easy Install Walk-Through Gate,amazon,https://www.amazon.com/dp/B07WQ64VJ4?tag=pregnancysp0a-20,$33,true,www.amazon.com,US
Baby Gates,Summer Infant Multi-Use Deco Extra Tall Baby Gate,amazon,https://www.amazon.com/dp/B003FVOO9U?tag=pregnancysp0a-20,$60,true,www.amazon.com,US
Baby Loungers,Baby Delight Snuggle Nest Harmony Infant Sleeper,amazon,https://www.amazon.com/dp/B07MPN78SM?tag=pregnancysp0a-20,$55,true,www.amazon.com,US
Baby Loungers,Boppy Newborn Lounger,amazon,https://www.amazon.com/dp/B07P87SXC3?tag=pregnancysp0a-20,$45,true,www.amazon.com,US
Baby Loungers,DockATot Deluxe+ Dock,amazon,https://www.amazon.com/dp/B07HQJTMNQ?tag=pregnancysp0a-20,$200,true,www.amazon.com,US
Baby Loungers,Fisher-Price Sit-Me-Up Floor Seat,amazon,https://www.amazon.com/dp/B07CZP9MJP?tag=pregnancysp0a-20,$40,true,www.amazon.com,US
Baby Loungers,Leachco Podster Sling-Style Plush Infant Seat,amazon,https://www.amazon.com/dp/B001RZDEH6?tag=pregnancysp0a-20,$40,true,www.amazon.com,US
Baby Loungers,Snuggle Me Organic Lounger,amazon,https://www.amazon.com/dp/B075RJ9LYW?tag=pregnancysp0a-20,$100,true,www.amazon.com,US
Baby Loungers,Summer Infant Pop 'n Sit Portable Booster Seat,amazon,https://www.amazon.com/dp/B00X0SH0HE?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Baby Nail Care,FridaBaby NailFrida The SnipperClipper Set,amazon,https://www.amazon.com/dp/B01NAAZM4E?tag=pregnancysp0a-20,$12,true,www.amazon.com,US
Baby Nail Care,Little Martin's Drawer Baby Electric Nail Trimmer,amazon,https://www.amazon.com/dp/B07D7TF7KS?tag=pregnancysp0a-20,$20,true,www.amazon.com,US
Baby Nail Care,Nuby Baby Nail Care Kit,amazon,https://www.amazon.com/dp/B07CZ4K6FK?tag=pregnancysp0a-20,$7,true,www.amazon.com,US
Baby Nail Care,Piyo Piyo Baby Nail Care Set,amazon,https://www.amazon.com/dp/B07GJN1JGM?tag=pregnancysp0a-20,$15,true,www.amazon.com,US
Baby Nail Care,Safety 1st Sleepy Baby Nail Care Kit,amazon,https://www.amazon.com/dp/B00M0E1AVE?tag=pregnancysp0a-20,$8,true,www.amazon.com,US
Baby Nail Care,ZoLi BUZZ B Baby Nail Trimmer,amazon,https://www.amazon.com/dp/B07DTRVGLB?tag=pregnancysp0a-20,$30,true,www.amazon.com,US
Baby Swings,4moms mamaRoo 4 Multi-Motion Baby Swing,amazon,https://www.amazon.com/dp/B0B3F93NYT?tag=pregnancysp0a-20,$279,true,www.amazon.com,US
Baby Swings,Baby Trend EZ-Ride Portable Baby Swing,amazon,https://www.amazon.com/dp/B07PLBRFYF?tag=pregnancysp0a-20,$60,true,www.amazon.com,US
Baby Swings,Fisher-Price Deluxe Bouncer Calm Vibes,amazon,https://www.amazon.com/dp/B08GYX8NWG?tag=pregnancysp0a-20,$59,true,www.amazon.com,US
Baby Swings,Fisher-Price Sweet Snugapuppy Dreams Cradle 'n Swing,amazon,https://www.amazon.com/dp/B07BQNQKN5?tag=pregnancysp0a-20,$165,true,www.amazon.com,US
Baby Swings,Graco DuoGlider LX Swing,amazon,https://www.amazon.com/dp/B07TBV8CGH?tag=pregnancysp0a-20,$120,true,www.amazon.com,US
Baby Swings,Graco Soothing System Glider,amazon,https://www.amazon.com/dp/B09MWHHV11?tag=pregnancysp0a-20,$119,true,www.amazon.com,US
Baby Swings,Ingenuity ConvertMe Swing-2-Seat,amazon,https://www.amazon.com/dp/B09QT8Z7LH?tag=pregnancysp0a-20,$129,true,www.amazon.com,US
Baby Thermometers,Braun ThermoScan 7 Ear Thermometer,amazon,https://www.amazon.com/dp/B001O0GKGE?tag=pregnancysp0a-20,$52,true,www.amazon.com,US
Baby Thermometers,Exergen Smart Glow Temporal Artery Thermometer,amazon,https://www.amazon.com/dp/B000BI2SJU?tag=pregnancysp0a-20,$44,true,www.amazon.com,US
Baby Thermometers,FridaBaby 3-in-1 True Temp Thermometer,amazon,https://www.amazon.com/dp/B09C7BPXKS?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Baby Thermometers,FridaBaby Quick-Read Rectal Thermometer,amazon,https://www.amazon.com/dp/B07WMVQH12?tag=pregnancysp0a-20,$15,true,www.amazon.com,US
Baby Thermometers,iProven DMT-489 Ear and Forehead Thermometer,amazon,https://www.amazon.com/dp/B07GYGXTS6?tag=pregnancysp0a-20,$30,true,www.amazon.com,US
Baby Thermometers,Kinsa QuickCare Smart Thermometer,amazon,https://www.amazon.com/dp/B06XWXB8TK?tag=pregnancysp0a-20,$30,true,www.amazon.com,US
Baby Thermometers,Safety 1st Gentle Read Rectal Thermometer,amazon,https://www.amazon.com/dp/B01LBXZM5K?tag=pregnancysp0a-20,$8,true,www.amazon.com,US
Baby Thermometers,Vicks ComfortFlex Digital Thermometer,amazon,https://www.amazon.com/dp/B001TBCFUG?tag=pregnancysp0a-20,$10,true,www.amazon.com,US
Bath Toys,Boon PIPES Building Bath Toy Set,amazon,https://www.amazon.com/dp/B074WFMJMZ?tag=pregnancysp0a-20,$12,true,www.amazon.com,US
Bath Toys,Green Toys Tug Boat,amazon,https://www.amazon.com/dp/B0013FRSGG?tag=pregnancysp0a-20,$14,true,www.amazon.com,US
Bath Toys,Munchkin Colour Buddies Moisturizing Bath Crayons,amazon,https://www.amazon.com/dp/B000JNA8HU?tag=pregnancysp0a-20,$7,true,www.amazon.com,US
Bath Toys,Munchkin Sea Squirts Squirting Bath Toy,amazon,https://www.amazon.com/dp/B00BF7T5NM?tag=pregnancysp0a-20,$8,true,www.amazon.com,US
Bath Toys,Nuby Octopus Hoopla Bathtime Fun Toy,amazon,https://www.amazon.com/dp/B07BFBKLL6?tag=pregnancysp0a-20,$6,true,www.amazon.com,US
Bath Toys,Skip Hop Moby Bath Spout Cover,amazon,https://www.amazon.com/dp/B007N2HZ72?tag=pregnancysp0a-20,$15,true,www.amazon.com,US
Breast Pumps,Elvie Stride Hands-Free Breast Pump,amazon,https://www.amazon.com/dp/B09Z37X2MP?tag=pregnancysp0a-20,$379,true,www.amazon.com,US
Breast Pumps,Haakaa Silicone Breast Pump Gen 2,amazon,https://www.amazon.com/dp/B078MDFPJZ?tag=pregnancysp0a-20,$15,true,www.amazon.com,US
Breast Pumps,Lansinoh Signature Pro Double Electric Breast Pump,amazon,https://www.amazon.com/dp/B00TGDLDM8?tag=pregnancysp0a-20,$55,true,www.amazon.com,US
Breast Pumps,Medela Pump In Style with MaxFlow,amazon,https://www.amazon.com/dp/B004HWXCJS?tag=pregnancysp0a-20,$199,true,www.amazon.com,US
Breast Pumps,Spectra S1 Plus Electric Breast Pump,amazon,https://www.amazon.com/dp/B00DBKFFJM?tag=pregnancysp0a-20,$209,true,www.amazon.com,US
Breast Pumps,Spectra S2 Plus,amazon,https://www.amazon.com/dp/B00BLBLR1I?tag=pregnancysp0a-20,$179,true,www.amazon.com,US
Breast Pumps,Willow 3.0 Wearable Breast Pump,amazon,https://www.amazon.com/dp/B09NK9GLYB?tag=pregnancysp0a-20,$499,true,www.amazon.com,US
Car Seats,Britax One4Life ClickTight All-in-One,amazon,https://www.amazon.com/dp/B07XTWYNYB?tag=pregnancysp0a-20,$399,true,www.amazon.com,US
Car Seats,Chicco KeyFit 35 Infant Car Seat,amazon,https://www.amazon.com/dp/B089HG2QTT?tag=pregnancysp0a-20,$279,true,www.amazon.com,US
Car Seats,Evenflo EveryStage DLX,amazon,https://www.amazon.com/dp/B07CL24B3J?tag=pregnancysp0a-20,$179,true,www.amazon.com,US
Car Seats,Graco 4Ever DLX,amazon,https://www.amazon.com/dp/B07D2QQ3RF?tag=pregnancysp0a-20,$329,true,www.amazon.com,US
Car Seats,Maxi-Cosi Pria All-in-One,amazon,https://www.amazon.com/dp/B07VGTNSZN?tag=pregnancysp0a-20,$379,true,www.amazon.com,US
Car Seats,Nuna RAVA Convertible Car Seat,amazon,https://www.amazon.com/dp/B0BC6RHWWK?tag=pregnancysp0a-20,$499,true,www.amazon.com,US
Car Seats,Nuna RAVA Convertible Car Seat,nordstrom,https://www.nordstrom.com/s/nuna-rava-convertible-car-seat/7231890,$499,true,www.nordstrom.com,Other/Unknown
Cribs,Babyletto Hudson 3-in-1 Convertible Crib,amazon,https://www.amazon.com/dp/B007CRJHUI?tag=pregnancysp0a-20,$479,true,www.amazon.com,US
Cribs,DaVinci Kalani 4-in-1 Convertible Crib,amazon,https://www.amazon.com/dp/B000FT7NSI?tag=pregnancysp0a-20,$279,true,www.amazon.com,US
Cribs,Delta Children Emery 4-in-1 Convertible Baby Crib,amazon,https://www.amazon.com/dp/B07Z4TZBR4?tag=pregnancysp0a-20,$150,true,www.amazon.com,US
Cribs,Graco Hadley 4-in-1 Convertible Crib,amazon,https://www.amazon.com/dp/B07ZFBWN3S?tag=pregnancysp0a-20,$230,true,www.amazon.com,US
Cribs,IKEA SUNDVIK Crib,amazon,https://www.amazon.com/dp/B089HG2QTT?tag=pregnancysp0a-20,$149,true,www.amazon.com,US
Cribs,SNOO Smart Sleeper Bassinet,amazon,https://www.amazon.com/dp/B0716KN18Z?tag=pregnancysp0a-20,"$1,695",true,www.amazon.com,US
Cribs,Storkcraft Tuscany 4-in-1 Convertible Crib,amazon,https://www.amazon.com/dp/B07BZ5TNMW?tag=pregnancysp0a-20,$250,true,www.amazon.com,US
Diaper Bags,Carter's City Mesh Diaper Bag Backpack,amazon,https://www.amazon.com/dp/B07RWYMLJQ?tag=pregnancysp0a-20,$55,true,www.amazon.com,US
Diaper Bags,Fawn Design Original Diaper Bag,amazon,https://www.amazon.com/dp/B08QJNHWF5?tag=pregnancysp0a-20,$168,true,www.amazon.com,US
Diaper Bags,Freshly Picked Classic Diaper Bag,amazon,https://www.amazon.com/dp/B0CJXSJ4MN?tag=pregnancysp0a-20,$178,true,www.amazon.com,US
Diaper Bags,Itzy Ritzy Boss Plus Diaper Bag Backpack,amazon,https://www.amazon.com/dp/B07WRNPXDJ?tag=pregnancysp0a-20,$100,true,www.amazon.com,US
Diaper Bags,JuJuBe BFF Diaper Bag,amazon,https://www.amazon.com/dp/B00TEXBJ3Q?tag=pregnancysp0a-20,$199,true,www.amazon.com,US
Diaper Bags,Petunia Pickle Bottom Boxy Backpack Diaper Bag,amazon,https://www.amazon.com/dp/B07CRWKX4Y?tag=pregnancysp0a-20,$155,true,www.amazon.com,US
Diaper Bags,Skip Hop Forma Diaper Backpack,amazon,https://www.amazon.com/dp/B0731TBBWF?tag=pregnancysp0a-20,$119,true,www.amazon.com,US
Diaper Pails,Dekor Classic Hands-Free Diaper Pail,amazon,https://www.amazon.com/dp/B00IU3TJ3G?tag=pregnancysp0a-20,$45,true,www.amazon.com,US
Diaper Pails,Diaper Genie Complete Diaper Pail,amazon,https://www.amazon.com/dp/B00NNI1AOO?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Diaper Pails,Munchkin Arm & Hammer Diaper Pail,amazon,https://www.amazon.com/dp/B07MGPXFM6?tag=pregnancysp0a-20,$28,true,www.amazon.com,US
Diaper Pails,Munchkin STEP Diaper Pail,amazon,https://www.amazon.com/dp/B07HMP81Z3?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Diaper Pails,Safety 1st Easy Saver Diaper Pail,amazon,https://www.amazon.com/dp/B07BVPQ7JV?tag=pregnancysp0a-20,$22,true,www.amazon.com,US
Diaper Pails,Tommee Tippee Twist & Click Advanced Diaper Pail,amazon,https://www.amazon.com/dp/B07BYNNYWK?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Diaper Pails,Ubbi Steel Diaper Pail,amazon,https://www.amazon.com/dp/B00939VWB2?tag=pregnancysp0a-20,$80,true,www.amazon.com,US
High Chairs,4moms Connect High Chair,amazon,https://www.amazon.com/dp/B07BGXTZ4K?tag=pregnancysp0a-20,$280,true,www.amazon.com,US
High Chairs,Baby Trend Sit Right High Chair,amazon,https://www.amazon.com/dp/B07Z34SVNS?tag=pregnancysp0a-20,$60,true,www.amazon.com,US
High Chairs,Chicco Polly Progress 5-in-1 Multi-Use High Chair,amazon,https://www.amazon.com/dp/B07J5CWCBQ?tag=pregnancysp0a-20,$250,true,www.amazon.com,US
High Chairs,Graco Slim Snacker High Chair,amazon,https://www.amazon.com/dp/B00PTL13LA?tag=pregnancysp0a-20,$79,true,www.amazon.com,US
High Chairs,IKEA Antilop High Chair,amazon,https://www.amazon.com/dp/B096KSB52S?tag=pregnancysp0a-20,$25,true,www.amazon.com,US
High Chairs,Joovy Nook High Chair,amazon,https://www.amazon.com/dp/B078STMRN6?tag=pregnancysp0a-20,$140,true,www.amazon.com,US
High Chairs,Stokke Tripp Trapp Chair,amazon,https://www.amazon.com/dp/B07KQQHX6H?tag=pregnancysp0a-20,$329,true,www.amazon.com,US
Humidifiers,Crane Drop Cool Mist Humidifier,amazon,https://www.amazon.com/dp/B004BKXC4K?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Humidifiers,"FridaBaby 3-in-1 Humidifier, Diffuser and Nightlight",amazon,https://www.amazon.com/dp/B07WMCM5LT?tag=pregnancysp0a-20,$40,true,www.amazon.com,US
Humidifiers,Honeywell HCM350W Germ Free Cool Mist Humidifier,amazon,https://www.amazon.com/dp/B001FWXKTA?tag=pregnancysp0a-20,$55,true,www.amazon.com,US
Humidifiers,Levoit LV600HH Hybrid Ultrasonic Humidifier,amazon,https://www.amazon.com/dp/B07V1P3YQC?tag=pregnancysp0a-20,$60,true,www.amazon.com,US
Humidifiers,Pure Enrichment MistAire Ultrasonic Cool Mist Humidifier,amazon,https://www.amazon.com/dp/B013IJPTFK?tag=pregnancysp0a-20,$30,true,www.amazon.com,US
Humidifiers,Safety 1st 360 Degree Ultrasonic Humidifier,amazon,https://www.amazon.com/dp/B07BVGTXWD?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Humidifiers,Vicks V745A Warm Mist Humidifier,amazon,https://www.amazon.com/dp/B003DZ09BO?tag=pregnancysp0a-20,$25,true,www.amazon.com,US
Monitors,Arlo Baby Monitor,amazon,https://www.amazon.com/dp/B072XZH4SB?tag=pregnancysp0a-20,$100,true,www.amazon.com,US
Monitors,Eufy SpaceView Pro Baby Monitor,amazon,https://www.amazon.com/dp/B08G8MBWZ8?tag=pregnancysp0a-20,$159,true,www.amazon.com,US
Monitors,Infant Optics DXR-8 Pro Baby Monitor,amazon,https://www.amazon.com/dp/B08FF4GV5C?tag=pregnancysp0a-20,$169,true,www.amazon.com,US
Monitors,Motorola VM75 5-inch Video Baby Monitor,amazon,https://www.amazon.com/s?k=Motorola+VM75+baby+monitor&tag=pregnancysp0a-20,$120,true,www.amazon.com,US
Monitors,Nanit Pro Smart Baby Monitor,amazon,https://www.amazon.com/dp/B0FTSL4FXJ?tag=pregnancysp0a-20,$299,true,www.amazon.com,US
Monitors,Owlet Dream Sock,amazon,https://www.amazon.com/dp/B09QY3FKWM?tag=pregnancysp0a-20,$299,true,www.amazon.com,US
Monitors,VTech DM221 Safe & Sound DECT 6.0 Audio Baby Monitor,amazon,https://www.amazon.com/dp/B00HNNAFM0?tag=pregnancysp0a-20,$30,true,www.amazon.com,US
Nursing Chairs,Angel Line Windsor Glider and Ottoman,amazon,https://www.amazon.com/dp/B00BGBXKTQ?tag=pregnancysp0a-20,$175,true,www.amazon.com,US
Nursing Chairs,Babyletto Tuba Swivel Glider,amazon,https://www.amazon.com/dp/B07ZCFQX5N?tag=pregnancysp0a-20,$490,true,www.amazon.com,US
Nursing Chairs,Best Choice Products Upholstered Rocking Chair Glider,amazon,https://www.amazon.com/dp/B07SXYMKR6?tag=pregnancysp0a-20,$120,true,www.amazon.com,US
Nursing Chairs,DaVinci Olive Upholstered Swivel Glider,amazon,https://www.amazon.com/dp/B07BYFQN26?tag=pregnancysp0a-20,$310,true,www.amazon.com,US
Nursing Chairs,Delta Children Blair Nursery Glider,amazon,https://www.amazon.com/dp/B07Z3BRGMQ?tag=pregnancysp0a-20,$220,true,www.amazon.com,US
Nursing Chairs,Dutailier Upholstered Swivel Glider,amazon,https://www.amazon.com/dp/B07KPQNJBJ?tag=pregnancysp0a-20,$450,true,www.amazon.com,US
Nursing Chairs,Graco Parker Semi-Upholstered Glider,amazon,https://www.amazon.com/dp/B07BPFH3WJ?tag=pregnancysp0a-20,$180,true,www.amazon.com,US
Nursing Chairs,Storkcraft Hoop Glider and Ottoman,amazon,https://www.amazon.com/dp/B007CQPZCI?tag=pregnancysp0a-20,$200,true,www.amazon.com,US
Nursing Feeding,Boppy Original Nursing Pillow,amazon,https://www.amazon.com/dp/B07VZSN584?tag=pregnancysp0a-20,$44,true,www.amazon.com,US
Nursing Feeding,Comotomo Baby Bottle,amazon,https://www.amazon.com/dp/B004C053BA?tag=pregnancysp0a-20,$24,true,www.amazon.com,US
Nursing Feeding,Dr. Brown's Natural Flow Original Bottle,amazon,https://www.amazon.com/dp/B00CPC2A36?tag=pregnancysp0a-20,$22,true,www.amazon.com,US
Nursing Feeding,Haakaa Silicone Breast Pump Gen 2,amazon,https://www.amazon.com/dp/B07CWK4S5W?tag=pregnancysp0a-20,$29,true,www.amazon.com,US
Nursing Feeding,Philips Avent Anti-Colic Bottle,amazon,https://www.amazon.com/dp/B0961QRR5K?tag=pregnancysp0a-20,$18,true,www.amazon.com,US
Play Mats,Baby Einstein 4-in-1 Kickin' Tunes Music and Language Play Gym,amazon,https://www.amazon.com/dp/B09G5VDGF2?tag=pregnancysp0a-20,$65,true,www.amazon.com,US
Play Mats,Bright Starts Tummy Time Prop & Play,amazon,https://www.amazon.com/dp/B07FX5F7NR?tag=pregnancysp0a-20,$25,true,www.amazon.com,US
Play Mats,Fisher-Price Deluxe Kick 'n Play Piano Gym,amazon,https://www.amazon.com/dp/B07BQNQKN5?tag=pregnancysp0a-20,$60,true,www.amazon.com,US
Play Mats,Infantino Twist & Fold Activity Gym & Ball Pit,amazon,https://www.amazon.com/dp/B07KFMTPMN?tag=pregnancysp0a-20,$33,true,www.amazon.com,US
Play Mats,Lovevery Play Gym,amazon,https://www.amazon.com/dp/B07Q38BVCK?tag=pregnancysp0a-20,$140,true,www.amazon.com,US
Play Mats,Skip Hop Explore & More Baby Play Mat,amazon,https://www.amazon.com/dp/B07H1P5JN4?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Play Mats,Tiny Love Meadow Days Super Gym,amazon,https://www.amazon.com/dp/B07TFKC2RB?tag=pregnancysp0a-20,$85,true,www.amazon.com,US
Potty Training,BabyBjörn Potty Chair,amazon,https://www.amazon.com/dp/B07Y3BXC9P?tag=pregnancysp0a-20,$33,true,www.amazon.com,US
Potty Training,Fisher-Price Laugh & Learn Smart Stages Potty,amazon,https://www.amazon.com/dp/B07Y5DVXZB?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Potty Training,Jool Baby Potty Training Seat with Step Stool Ladder,amazon,https://www.amazon.com/dp/B07WBFN7HQ?tag=pregnancysp0a-20,$40,true,www.amazon.com,US
Potty Training,Munchkin Sturdy Potty Seat,amazon,https://www.amazon.com/dp/B00AWEJC1Q?tag=pregnancysp0a-20,$10,true,www.amazon.com,US
Potty Training,OXO Tot 2-in-1 Go Potty,amazon,https://www.amazon.com/dp/B00VGXX7DI?tag=pregnancysp0a-20,$40,true,www.amazon.com,US
Potty Training,Summer Infant My Size Realistic Potty,amazon,https://www.amazon.com/dp/B00BIZOYBQ?tag=pregnancysp0a-20,$25,true,www.amazon.com,US
Sippy Cups,Contigo Kids Stainless Steel Sippy Cup,amazon,https://www.amazon.com/dp/B073C28BFX?tag=pregnancysp0a-20,$17,true,www.amazon.com,US
Sippy Cups,Munchkin Miracle 360 Trainer Cup,amazon,https://www.amazon.com/dp/B00BSBM40K?tag=pregnancysp0a-20,$7,true,www.amazon.com,US
Sippy Cups,Nuby Silicone Spout Sippy Cup,amazon,https://www.amazon.com/dp/B07BGLXFHQ?tag=pregnancysp0a-20,$8,true,www.amazon.com,US
Sippy Cups,OXO Tot Transitions Sippy Cup,amazon,https://www.amazon.com/dp/B002LHIWDE?tag=pregnancysp0a-20,$13,true,www.amazon.com,US
Sippy Cups,Pura Kiki Stainless Steel Sippy Cup,amazon,https://www.amazon.com/dp/B07RJMQC73?tag=pregnancysp0a-20,$26,true,www.amazon.com,US
Sippy Cups,Re-Play No-Spill Sippy Cup,amazon,https://www.amazon.com/dp/B01BG7WMHQ?tag=pregnancysp0a-20,$6,true,www.amazon.com,US
Sippy Cups,THERMOS FOOGO Leak-Proof Stainless Steel Sippy Cup,amazon,https://www.amazon.com/dp/B003WMPGDC?tag=pregnancysp0a-20,$22,true,www.amazon.com,US
Sippy Cups,Tommee Tippee First Sips Trainer Cup,amazon,https://www.amazon.com/dp/B09BRDP8SR?tag=pregnancysp0a-20,$9,true,www.amazon.com,US
Sleep Sacks,aden + anais Classic Sleeping Bag,amazon,https://www.amazon.com/dp/B07GJVXP4N?tag=pregnancysp0a-20,$38,true,www.amazon.com,US
Sleep Sacks,Baby Merlin's Magic Sleepsuit,amazon,https://www.amazon.com/dp/B009SCFZDC?tag=pregnancysp0a-20,$42,true,www.amazon.com,US
